snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,support CNL1L2L3,support L1L2L3,L1,L2,L3
Pain of knee region (finding),1003722009,Knee pain,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,"Although study results have been mixed about the effectiveness of this treatment, relief from one or a series of shots may last as long as six months.",MAYO,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR,correct
Pain of knee region (finding),1003722009,Knee pain,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0072463768115942,You should start to feel better in a few days,NHS,0.0003865481252415,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,correct
Pain of knee region (finding),1003722009,Knee pain,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,But this altered gait can place more stress on your knee joint.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,correct
Allergy to Hevea brasiliensis latex protein (finding),1003755004,Latex allergy,PERMANENT,0.0011520737327188,"Although medications are available to reduce the symptoms of latex allergy, there is no cure.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,correct
Metatarsalgia (finding),10085004,Metatarsalgia,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"Although generally not serious, metatarsalgia can sideline you.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,pc
Infection caused by Schistosoma (disorder),10087007,Schistosomiasis (bilharzia),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812,"You often don't have any symptoms when you first become infected with schistosomiasis, but the parasite can remain in the body for many years and cause damage to organs such as the bladder, kidneys and liver.",NHS,0.0003865481252415,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Infection caused by Schistosoma (disorder),10087007,Schistosomiasis (bilharzia),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"These symptoms, known as acute schistosomiasis, often get better by themselves within a few weeks",NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,ncni
Growing pains (finding),102482005,Growing pains,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812,Growing pains often get better on their own within a year or two.,MAYO,0.0003865481252415,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pi
Cyclospora (organism),103560006,Cyclospora,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.0434782608695652,"If cyclospora isn't treated, the illness may last from a few days to a month or longer.",NHS,0.0001932740626207,0.0044453034402783,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK,incorrect
Blindness AND/OR vision impairment level (disorder),105597003,Blindness and vision loss,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.005181347150259,"If you're blind or partially sighted, you may be referred to a specialist low-vision clinic, which is often located within a hospital",NHS,0.0009663703131039,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,pc
Blindness AND/OR vision impairment level (disorder),105597003,Blindness and vision loss,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"Depending on the size of the company you work for, the grant can pay for 80-100% of costs, up to £10,000.",NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,pi
Fibrous dysplasia of bone (disorder),10623005,Fibrous dysplasia,PERMANENT,0.0011520737327188,There's no cure for the disorder.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,pi
Family Talpidae (organism),106925002,Moles,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925,These changes can happen over weeks or months.,NHS,0.0003865481252415,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,pc
Irritable bowel syndrome (disorder),10743008,Irritable bowel syndrome (IBS),IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,"These tend to come and go over time, and can last for days, weeks or months at a time",NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,pi
Irritable bowel syndrome (disorder),10743008,Irritable bowel syndrome (IBS),PERMANENT,0.0023041474654377,It's usually a lifelong problem,NHS,0.0003865481252415,0.1677618863548511,PERMANENT,,,correct
Arthritis of bilateral first carpometacarpal joints (disorder),1074781000119102,Thumb arthritis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"After surgery, you can expect to wear a cast or splint over your thumb and wrist for up to six weeks.",MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,pc
Dialysis procedure (procedure),108241001,Dialysis,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"Someone who starts dialysis in their late 20s can expect to live for up to 20 years or longer, but adults over 75 may only survive for 2 to 3 years.",NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Dialysis procedure (procedure),108241001,Dialysis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,Changing the fluid usually takes about 30 to 40 minutes and normally needs to be repeated around 4 times a day.,NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,pc
Radiation oncology AND/OR radiotherapy (procedure),108290001,Radiotherapy,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0072463768115942,"You can usually go home soon after external radiotherapy, but you may need to stay in hospital for a few days if you have implants or radioisotope therapy",NHS,0.0003865481252415,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,ncni
Radiation oncology AND/OR radiotherapy (procedure),108290001,Radiotherapy,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"Most people have several treatment sessions, which are typically spread over the course of a few weeks.",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,ncni
Radiation oncology AND/OR radiotherapy (procedure),108290001,Radiotherapy,PERMANENT,0.0011520737327188,relieve symptoms if a cure is not possible (palliative radiotherapy),NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,,ncni
Dislocation of joint (disorder),108367008,Dislocation,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"When treated properly, most dislocations return to normal function after several weeks of rest and rehabilitation.",MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,ncni
Dislocation of joint (disorder),108367008,Dislocation,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"For the first day or two, try to do this every couple of hours during the day.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Dislocation of joint (disorder),108367008,Dislocation,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"When treated properly, most dislocations return to normal function after several weeks of rest and rehabilitation.",MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,ncni
Dislocation of joint (disorder),108367008,Dislocation,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"For the first day or two, try to do this every couple of hours during the day.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Sclerosing mesenteritis (disorder),1092381000119100,Sclerosing mesenteritis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,But some people experience no signs and symptoms and may never need treatment.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,pi
Sclerosing mesenteritis (disorder),1092381000119100,Sclerosing mesenteritis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,But some people experience no signs and symptoms and may never need treatment.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,pi
"Mesothelioma (malignant, clinical disorder) (disorder)",109378008,Mesothelioma,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812,"It usually takes a while for this to cause any obvious problems, with mesothelioma typically developing more than 20 years after exposure to asbestos.",NHS,0.0003865481252415,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pi
"Mesothelioma (malignant, clinical disorder) (disorder)",109378008,Mesothelioma,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"There are currently around 2,500 deaths from mesothelioma each year in the UK",NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,pi
"Mesothelioma (malignant, clinical disorder) (disorder)",109378008,Mesothelioma,PERMANENT,0.0057603686635944,"Unfortunately, it's rarely possible to cure mesothelioma, although treatment can help control the symptoms.",NHS,0.0009663703131039,0.1677618863548511,PERMANENT,,,pi
"Mesothelioma (malignant, clinical disorder) (disorder)",109378008,Mesothelioma,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,The symptoms of mesothelioma tend to develop gradually over time,NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pi
Kaposi's sarcoma (disorder),109385007,Kaposi's sarcoma,DECLINE SLOWLY FROM 6 MONTH TO 1 YEAR,0.0833333333333333,"Known as classic Kaposi's sarcoma, this cancer progresses slowly and typically causes few serious problems.",MAYO,0.0001932740626207,0.0023192887514495,DECLINE,SLOWLY,FROM 6 MONTH TO 1 YEAR,incorrect
Kaposi's sarcoma (disorder),109385007,Kaposi's sarcoma,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"Unlike other types of Kaposi's sarcoma, the symptoms of classic Kaposi's sarcoma progress very slowly over many years.",NHS,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pi
Kaposi's sarcoma (disorder),109385007,Kaposi's sarcoma,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,Lesions treated in any of these ways are likely to return within a couple of years.,MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Kaposi's sarcoma (disorder),109385007,Kaposi's sarcoma,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"Without treatment, most types of Kaposi's sarcoma get worse quickly, in a number of weeks or months",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,pc
Kaposi's sarcoma (disorder),109385007,Kaposi's sarcoma,PERMANENT,0.0011520737327188,"It may not be possible to cure Kaposi's sarcoma completely, and there's always a chance it could come back in the future.",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,,correct
Complete avulsion of tooth (disorder),109671008,Knocked-out tooth,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,You'll probably need to go back after a couple of weeks to have the splint removed.,NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,pi
Multiple myeloma (disorder),109989006,Multiple myeloma,PERMANENT,0.0057603686635944,Treatment for multiple myeloma can often help to control symptoms and improve quality of life,NHS,0.0009663703131039,0.1677618863548511,PERMANENT,,,pi
Multiple myeloma (disorder),109989006,Multiple myeloma,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0031088082901554,"If your myeloma recurs or doesn't respond to treatment,",MAYO,0.0005798221878623,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Polycythemia vera (disorder),109992005,Polycythemia vera,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"It usually develops slowly, and you might have it for years without knowing.",MAYO,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,correct
Polycythemia vera (disorder),109992005,Polycythemia vera,PERMANENT,0.0011520737327188,There's no cure for polycythemia vera.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,pc
Essential thrombocythemia (disorder),109994006,Essential thrombocythemia,PERMANENT,0.0023041474654377,Essential thrombocythemia is a chronic disease with no cure.,MAYO,0.0003865481252415,0.1677618863548511,PERMANENT,,,pc
Myelodysplastic syndrome (disorder),109995007,Myelodysplastic syndrome (myelodysplasia),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,It can take a few months or up to several years before transformation takes place,NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pc
Myelodysplastic syndrome (disorder),109995007,Myelodysplastic syndrome (myelodysplasia),DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"For most people, symptoms are mild at first and slowly get worse",NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pc
Myelodysplastic syndrome (disorder),109995007,Myelodysplastic syndrome (myelodysplasia),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,The aim of treatment is to get the number and type of blood cells in your bloodstream back to normal and manage your symptoms.,NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Myelodysplastic syndrome (disorder),109995007,Myelodysplastic syndrome (myelodysplasia),PERMANENT,0.0011520737327188,"It can sometimes cure MDS, but isn't suitable for everyone.",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,,ncni
Concussion injury of brain (disorder),110030002,Concussion,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0434782608695652,"If these symptoms persist beyond three months, this becomes characterized as post-concussion syndrome.",MAYO,0.0003865481252415,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR,pi
Concussion injury of brain (disorder),110030002,Concussion,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0064724919093851,"Symptoms can last for days, weeks or even longer.",MAYO,0.0007730962504831,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,pc
Concussion injury of brain (disorder),110030002,Concussion,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,A headache that gets worse over time,MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,incorrect
Concussion injury of brain (disorder),110030002,Concussion,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"In the first few days after a concussion, relative rest is the most appropriate way to allow your brain to recover.",MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,pc
Concussion injury of brain (disorder),110030002,Concussion,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0031088082901554,Signs of a concussion usually appear within a few minutes or hours of a head injury.,NHS,0.0005798221878623,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,pc
Clinical trial (procedure),110465008,Clinical trials,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,Trials often last a year or more and involve several thousand patients.,NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,incorrect
Cataract surgery (procedure),110473004,Cataract surgery,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0064724919093851,These side effects usually improve within a few days but it can take 4 to 6 weeks to recover fully.,NHS,0.0007730962504831,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,correct
Cataract surgery (procedure),110473004,Cataract surgery,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.005181347150259,You should be able to go home on the same day as your cataract surgery.,NHS,0.0009663703131039,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Cataract surgery (procedure),110473004,Cataract surgery,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,Cataracts usually get slowly worse over time,NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,incorrect
Cataract surgery (procedure),110473004,Cataract surgery,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"Feeling should start to return to your eye within a few hours of surgery, but it may take a few days for your vision to fully return.",NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,pc
Bursitis of knee (disorder),111243002,Knee bursitis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,But most cases of knee bursitis result from friction and irritation of the bursa that occurs in jobs that require a lot of kneeling on hard surfaces — so symptoms usually begin gradually and can worsen over time.,MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,incorrect
Bursitis of knee (disorder),111243002,Knee bursitis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"The inflammation usually subsides rapidly, but you might have pain and swelling from the injection for a couple of days.",MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,incorrect
Compartment syndrome (disorder),111245009,Compartment syndrome,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,usually passes within minutes of stopping the activity,NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Compartment syndrome (disorder),111245009,Compartment syndrome,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,usually passes within minutes of stopping the activity,NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Avascular necrosis of the capital femoral epiphysis (disorder),111255008,Legg-Calve-Perthes disease,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,Initial X-rays might look normal because it can take one to two months after symptoms begin for the changes associated with Legg-Calve-Perthes disease to become evident on X-rays.,MAYO,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,ncni
Avascular necrosis of the capital femoral epiphysis (disorder),111255008,Legg-Calve-Perthes disease,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"The complete process of bone death, fracture and renewal can take several years.",MAYO,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Avascular necrosis of the capital femoral epiphysis (disorder),111255008,Legg-Calve-Perthes disease,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,Initial X-rays might look normal because it can take one to two months after symptoms begin for the changes associated with Legg-Calve-Perthes disease to become evident on X-rays.,MAYO,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,ncni
Avascular necrosis of the capital femoral epiphysis (disorder),111255008,Legg-Calve-Perthes disease,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"The complete process of bone death, fracture and renewal can take several years.",MAYO,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
